DATE,GAME_ID,SEASON,TEAM,TEAM_LVL,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2019-10-04,11900003,2019,Sacramento,중위팀,1627812,SUB,3.466666666666667,1,2,0.5,1,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,3,-4
2019-10-04,11900002,2019,L.A. Clippers,상위팀,203210,SUB,18.683333333333334,1,4,0.25,1,3,0.3329999999999999,0,0,0.0,0,5.0,5,0,0,0,1,0,3,-1
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1626149,SUB,24.183333333333334,5,10,0.5,0,1,0.0,7,10,0.7,0,6.0,6,3,0,2,1,5,17,-6
2019-10-04,11900002,2019,L.A. Clippers,상위팀,101150,SUB,10.466666666666667,3,8,0.375,2,5,0.4,5,5,1.0,1,2.0,3,0,0,0,0,1,13,5
2019-10-04,11900002,2019,L.A. Clippers,상위팀,203585,SUB,17.166666666666668,4,9,0.444,2,4,0.5,2,4,0.5,0,3.0,3,3,1,0,0,5,12,-15
2019-10-04,11900002,2019,L.A. Clippers,상위팀,201976,G,12.133333333333333,0,0,0.0,0,0,0.0,0,2,0.0,0,6.0,6,2,0,1,4,4,0,3
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629013,G,23.283333333333335,1,7,0.143,0,4,0.0,0,0,0.0,0,1.0,1,1,0,0,2,2,2,-27
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1627826,C,17.6,4,5,0.8,0,0,0.0,2,4,0.5,1,4.0,5,0,0,2,3,3,10,-15
2019-10-04,11900002,2019,L.A. Clippers,상위팀,203090,F,23.1,2,5,0.4,1,3,0.3329999999999999,0,0,0.0,2,1.0,3,2,0,0,2,1,5,-20
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629010,F,16.9,3,12,0.25,2,6,0.3329999999999999,0,0,0.0,1,0.0,1,2,0,0,2,4,8,-12
2019-10-04,11900002,2019,Houston,하위팀,1629044,SUB,12.0,1,4,0.25,0,1,0.0,0,0,0.0,0,0.0,0,1,0,1,2,1,2,-11
2019-10-04,11900002,2019,Houston,하위팀,1628392,SUB,12.0,3,6,0.5,0,1,0.0,0,0,0.0,1,1.0,2,1,0,1,4,5,6,-11
2019-10-04,11900002,2019,Houston,하위팀,1628417,SUB,12.0,2,2,1.0,0,0,0.0,0,0,0.0,1,6.0,7,1,0,0,1,0,4,-11
2019-10-04,11900002,2019,Houston,하위팀,1629109,SUB,11.633333333333333,1,4,0.25,1,4,0.25,0,0,0.0,2,2.0,4,1,1,0,0,0,3,1
2019-10-04,11900002,2019,Houston,하위팀,1629598,SUB,23.25,5,14,0.357,3,11,0.273,2,2,1.0,0,4.0,4,3,2,0,2,4,15,-2
2019-10-04,11900002,2019,Houston,하위팀,2199,SUB,9.35,1,2,0.5,0,0,0.0,1,2,0.5,0,3.0,3,0,0,1,1,3,3,3
2019-10-04,11900002,2019,Houston,하위팀,200757,SUB,13.133333333333333,0,1,0.0,0,1,0.0,4,4,1.0,1,3.0,4,2,0,1,0,0,4,2
2019-10-04,11900002,2019,Houston,하위팀,203085,SUB,18.316666666666666,1,6,0.1669999999999999,0,4,0.0,0,0,0.0,0,0.0,0,2,1,0,1,1,2,-2
2019-10-04,11900002,2019,Houston,하위팀,101123,SUB,7.45,1,4,0.25,0,3,0.0,2,2,1.0,0,1.0,1,0,0,0,0,2,4,2
2019-10-04,11900002,2019,Houston,하위팀,201935,G,28.383333333333333,8,22,0.364,4,14,0.286,17,20,0.85,1,6.0,7,7,2,0,2,4,37,38
2019-10-04,11900002,2019,Houston,하위팀,203463,G,22.55,3,5,0.6,3,5,0.6,0,0,0.0,0,2.0,2,0,1,0,2,3,9,18
2019-10-04,11900002,2019,Houston,하위팀,203991,C,26.65,4,9,0.444,0,0,0.0,6,10,0.6,5,6.0,11,2,0,1,2,3,14,21
2019-10-04,11900002,2019,Houston,하위팀,200782,F,24.3,0,1,0.0,0,1,0.0,0,0,0.0,1,6.0,7,0,2,0,0,2,0,19
2019-10-04,11900002,2019,Houston,하위팀,201569,F,18.983333333333334,3,8,0.375,0,3,0.0,0,0,0.0,0,0.0,0,1,2,0,3,1,6,-2
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629611,SUB,25.266666666666666,3,8,0.375,0,2,0.0,2,4,0.5,4,5.0,9,4,0,0,3,3,8,7
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1628405,SUB,9.066666666666666,1,1,1.0,0,0,0.0,0,0,0.0,1,0.0,1,0,0,0,1,0,2,11
2019-10-04,11900003,2019,Sacramento,중위팀,202709,SUB,16.45,1,2,0.5,1,2,0.5,2,3,0.667,0,1.0,1,3,1,0,3,4,5,15
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1628476,SUB,15.266666666666667,1,5,0.2,1,1,1.0,0,0,0.0,0,0.0,0,5,0,1,1,1,3,2
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629599,SUB,15.8,4,9,0.444,0,2,0.0,2,4,0.5,0,2.0,2,2,3,0,2,3,10,-6
2019-10-04,11900003,2019,Sacramento,중위팀,1626158,SUB,19.583333333333332,4,6,0.667,0,1,0.0,2,2,1.0,0,4.0,4,0,2,2,1,3,10,14
2019-10-04,11900003,2019,Sacramento,중위팀,203992,SUB,28.1,5,7,0.7140000000000001,3,5,0.6,1,2,0.5,1,1.0,2,7,0,0,4,3,14,14
2019-10-04,11900003,2019,Sacramento,중위팀,2772,SUB,28.416666666666668,2,7,0.286,1,5,0.2,0,0,0.0,0,2.0,2,5,1,0,0,1,5,4
2019-10-04,11900003,2019,Sacramento,중위팀,1628368,G,33.083333333333336,6,15,0.4,0,0,0.0,4,7,0.5710000000000001,0,3.0,3,8,1,0,4,5,16,-12
2019-10-04,11900003,2019,Sacramento,중위팀,1627741,G,31.55,11,20,0.55,4,10,0.4,2,2,1.0,0,4.0,4,1,1,0,4,4,28,-10
2019-10-04,11900003,2019,Sacramento,중위팀,203473,C,17.933333333333334,1,2,0.5,1,2,0.5,0,0,0.0,0,2.0,2,0,0,0,2,3,3,-10
2019-10-04,11900003,2019,Sacramento,중위팀,1628963,F,29.95,5,12,0.417,0,2,0.0,2,4,0.5,3,2.0,5,0,0,2,1,5,12,-11
2019-10-04,11900003,2019,Sacramento,중위팀,203084,F,34.416666666666664,4,7,0.5710000000000001,2,3,0.667,11,11,1.0,0,2.0,2,4,1,0,0,2,21,-8
2019-10-04,11900003,2019,Indiana,중위팀,203200,SUB,9.0,0,1,0.0,0,1,0.0,4,4,1.0,0,1.0,1,0,1,0,1,0,4,-11
2019-10-04,11900003,2019,Indiana,중위팀,204456,SUB,8.416666666666666,2,2,1.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0,2,4,-9
2019-10-04,11900003,2019,Indiana,중위팀,1628578,SUB,3.3666666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,1
2019-10-04,11900003,2019,Sacramento,중위팀,202357,SUB,22.05,4,9,0.444,2,5,0.4,4,5,0.8,2,3.0,5,2,1,0,3,1,14,3
2019-10-04,11900003,2019,Indiana,중위팀,203926,SUB,16.016666666666666,3,6,0.5,1,3,0.3329999999999999,2,2,1.0,0,0.0,0,0,1,0,1,4,9,1
2019-10-04,11900003,2019,Indiana,중위팀,1628993,SUB,13.6,1,1,1.0,0,0,0.0,2,4,0.5,1,0.0,1,0,0,0,1,4,4,-5
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629615,SUB,4.866666666666667,1,1,1.0,0,0,0.0,1,2,0.5,0,0.0,0,0,0,0,0,1,3,1
2019-10-04,11900003,2019,Indiana,중위팀,203933,F,32.916666666666664,11,18,0.611,5,6,0.833,3,3,1.0,0,5.0,5,1,1,0,1,4,30,7
2019-10-04,11900003,2019,Indiana,중위팀,1627734,F,31.2,9,16,0.563,0,2,0.0,3,4,0.75,6,6.0,12,2,2,1,5,1,21,3
2019-10-04,11900003,2019,Indiana,중위팀,1626167,C,30.316666666666666,5,10,0.5,0,1,0.0,1,2,0.5,6,7.0,13,3,3,2,4,1,11,20
2019-10-04,11900002,2019,L.A. Clippers,상위팀,1629662,SUB,6.216666666666667,0,2,0.0,0,2,0.0,0,0,0.0,1,3.0,4,2,1,2,0,2,0,8
2019-10-04,11900003,2019,Indiana,중위팀,1627763,G,34.35,5,13,0.385,2,4,0.5,3,4,0.75,0,6.0,6,14,0,0,2,4,15,15
2019-10-04,11900003,2019,Indiana,중위팀,203960,SUB,22.583333333333332,2,4,0.5,0,0,0.0,0,0,0.0,1,3.0,4,0,0,0,2,4,4,-13
2019-10-04,11900003,2019,Indiana,중위팀,1628988,SUB,10.233333333333333,1,4,0.25,0,2,0.0,1,2,0.5,0,1.0,1,3,0,0,2,1,3,-5
2019-10-04,11900003,2019,Indiana,중위팀,1628410,SUB,20.466666666666665,3,5,0.6,1,2,0.5,0,0,0.0,0,2.0,2,1,2,0,1,2,7,-10
2019-10-04,11900003,2019,Indiana,중위팀,203087,G,32.53333333333333,6,12,0.5,1,6,0.1669999999999999,7,8,0.875,0,1.0,1,2,1,0,3,2,20,11
2019-10-05,11900006,2019,Golden State,중위팀,1627814,SUB,15.45,3,8,0.375,1,4,0.25,2,4,0.5,1,2.0,3,0,3,0,1,0,9,1
2019-10-05,11900007,2019,Orlando,하위팀,202696,C,15.4,3,8,0.375,0,1,0.0,1,2,0.5,0,3.0,3,3,1,0,1,0,7,4
2019-10-05,11900006,2019,Golden State,중위팀,1629308,SUB,9.85,1,1,1.0,0,0,0.0,2,2,1.0,0,1.0,1,0,0,0,1,2,4,-7
2019-10-05,11900006,2019,Golden State,중위팀,1629065,SUB,5.2,0,2,0.0,0,2,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,-7
2019-10-05,11900006,2019,Golden State,중위팀,1626150,SUB,7.666666666666667,1,1,1.0,0,0,0.0,2,2,1.0,0,1.0,1,2,0,0,1,0,4,0
2019-10-05,11900006,2019,Golden State,중위팀,203906,SUB,7.666666666666667,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,1,0,0,1,0,0
2019-10-05,11900007,2019,Orlando,하위팀,203932,F,18.9,6,8,0.75,0,2,0.0,2,2,1.0,0,4.0,4,3,1,0,0,1,14,3
2019-10-05,11900007,2019,Orlando,하위팀,1628371,F,19.55,2,7,0.286,1,4,0.25,0,0,0.0,1,4.0,5,1,1,2,1,2,5,7
2019-10-05,11900007,2019,Orlando,하위팀,203095,G,15.083333333333334,2,4,0.5,1,2,0.5,1,1,1.0,0,0.0,0,0,0,0,0,1,6,-1
2019-10-05,11900007,2019,Orlando,하위팀,203487,SUB,20.05,6,9,0.667,0,0,0.0,1,2,0.5,2,4.0,6,2,4,0,2,2,13,17
2019-10-05,11900007,2019,Orlando,하위팀,203082,SUB,17.1,5,10,0.5,4,8,0.5,0,0,0.0,1,0.0,1,0,1,1,0,0,14,30
2019-10-05,11900007,2019,Orlando,하위팀,1628365,SUB,17.1,3,8,0.375,0,2,0.0,0,0,0.0,0,2.0,2,4,2,0,4,1,6,30
2019-10-05,11900007,2019,Orlando,하위팀,202329,SUB,18.583333333333332,4,8,0.5,1,4,0.25,0,0,0.0,1,3.0,4,5,2,1,0,1,9,30
2019-10-05,11900007,2019,Orlando,하위팀,1628964,SUB,19.0,7,11,0.636,1,4,0.25,3,5,0.6,2,5.0,7,1,1,3,0,1,18,27
2019-10-05,11900007,2019,Orlando,하위팀,1628411,SUB,15.333333333333334,4,7,0.5710000000000001,2,3,0.667,0,0,0.0,0,1.0,1,1,1,1,0,1,10,13
2019-10-05,11900007,2019,Orlando,하위팀,203920,SUB,10.3,1,4,0.25,0,2,0.0,0,0,0.0,1,4.0,5,0,0,0,0,1,2,3
2019-10-05,11900007,2019,Orlando,하위팀,1628982,SUB,8.7,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,1
2019-10-05,11900007,2019,Orlando,하위팀,1628518,SUB,6.566666666666666,1,1,1.0,0,0,0.0,0,0,0.0,1,2.0,3,1,0,0,1,0,2,-3
2019-10-05,11900006,2019,Golden State,중위팀,1629673,SUB,22.85,5,11,0.455,4,9,0.444,3,4,0.75,0,1.0,1,1,1,0,2,3,17,1
2019-10-05,11900007,2019,Orlando,하위팀,201571,G,16.416666666666668,2,3,0.667,1,1,1.0,2,2,1.0,1,0.0,1,4,4,0,3,0,7,4
2019-10-05,11900006,2019,Golden State,중위팀,1629672,SUB,24.116666666666667,3,7,0.429,1,1,1.0,4,6,0.667,1,2.0,3,1,1,0,0,4,11,-14
2019-10-05,11900006,2019,L.A. Lakers,중위팀,203584,SUB,25.033333333333335,6,11,0.545,2,6,0.3329999999999999,0,0,0.0,0,2.0,2,0,2,0,1,2,14,18
2019-10-05,11900006,2019,Golden State,중위팀,1627737,SUB,13.8,4,6,0.667,0,2,0.0,0,0,0.0,2,4.0,6,4,0,0,2,6,8,-11
